,grid_type,number_lights,height,width,mean,std,min,1,5,10,90,95,99,max
207,ogrid,49,5,15.0,88.66207529843894,10.494073486876653,51.0,65.0,72.0,75.0,102.0,106.0,114.0,126.0
208,ogrid,49,10,7.5,66.03785328027752,10.816068776806826,31.0,42.0,49.0,52.0,80.0,84.0,91.0,105.0
209,ogrid,49,10,10.0,60.774206713600655,9.631975577252229,30.0,40.0,45.0,48.0,73.0,77.0,84.0,97.0
210,ogrid,49,10,12.5,54.931435567799205,8.448478596952175,23.0,36.0,41.0,44.0,66.0,69.0,75.0,84.0
211,ogrid,49,10,15.0,48.976430976430976,7.525947737906107,23.0,32.0,37.0,40.0,59.0,62.0,67.0,77.0
212,ogrid,49,15,7.5,34.89776553412917,6.313135846989867,15.0,21.0,25.0,27.0,43.0,46.0,50.0,64.0
213,ogrid,49,15,10.0,33.358330782573205,6.127855366760829,12.0,20.0,24.0,26.0,41.0,44.0,48.0,60.0
214,ogrid,49,15,12.5,31.220895826956433,5.7728378307558605,11.0,19.0,22.0,24.0,39.0,41.0,45.0,62.0
215,ogrid,49,15,15.0,29.24803591470258,5.591582220128075,12.0,17.0,20.0,22.0,36.0,39.0,43.0,51.0
216,ogrid,81,1,7.5,596.7342107948168,264.80707837631576,63.0,103.0,166.0,206.0,900.0,923.0,958.0,1013.0
217,ogrid,81,1,10.0,486.8870523415978,56.286832620702576,271.0,331.0,377.0,408.0,550.0,562.0,583.0,634.0
218,ogrid,81,1,12.5,344.2798694010815,29.234287031397614,247.0,284.0,300.0,308.0,384.0,396.0,418.0,452.0
219,ogrid,81,1,15.0,245.11947760432608,32.5759237200764,159.0,190.0,202.0,208.0,294.0,308.0,333.0,379.0
220,ogrid,81,2,7.5,476.67350270380575,177.23300749546738,102.0,142.0,199.0,240.0,712.0,738.0,773.0,828.0
